=== GENERAL INFORMATION ===
Sample: Polysorbate60
Measurement performed on: 2022-01-27 15:41:35
Operator: Matthias Hofmann
Device: Fancy Machine X
Device ID: Y0139836

=== COLLECTED DATA ===
Concentration / [g/L],Surface tension / [mN/m]
4.0602e-01,44.60
1.4911e-01,44.58
8.8993e-02,44.67
5.2587e-02,44.74
4.3003e-02,46.37
3.0056e-02,47.73
1.9793e-02,49.89
8.9437e-03,54.14
4.7317e-03,56.57

=== SUMMARY INFORMATION ===
9 concentration - surface tension value pairs collected.
Thank you for using Fancy Machine X.
